Date,Title,Creator,Views
May 19,Getting started with ESP32: Button Tutorial,Thinking Things,7.7K views
May 19,DIY ESP32 Button Project – Super Simple! #arduino #esp32 #esp32project,SunFounder Maker Education,6.4K views
May 19,MPU6050 Sensor Arduino Tutorial,Superb Tech,123K views
May 19,MPU6050 Accelerometer plus Gyroscope With Arduino #arduino #electronics #iot #education #tech,Toptecboy,42K views
May 13,Belajar Use Case Diagram | Belajar UML & Perancangan Sistem,Naistudio Academy,76K views
May 12,Barcelona 4-3 Real Madrid | LaLiga 24/25 Match Highlights,beIN SPORTS Indonesia,2.8M views
May 10,Romansa Danau Toba Full movie//,Lesdi Hamdani,995K views
May 10,Deploy Model Machine Learning dalam 1 Jam! Dari Pemodelan sampai Live untuk Pemula,NgodingPython,12K views
May 10,How to create AI model deployment | Azure AI Foundry,Azure Innovation Station,1.2K views
May 5,How to Think Like a Consultant | Expert Series - Seminar by ANUISA,PPIA ANU,415 views
May 1,Lionel Messi & Neymar Jr MASTERCLASS in the Last Barcelona UCL Final,RDHDComps,2.4M views
Apr 17,Odoo Tutorial 3: How to initialize a new Odoo database,Usman Solutions,1.7K views
Mar 1,Menghitung Gradien Loss terhadap Weight | Backpropagation (bagian 2),Anak AI,3.8K views
Mar 1,Pengenalan Supervised Learning dan masalah labelnya,Anak AI,7.4K views
Mar 1,Menuruni grafik loss dengan Gradient Descent | Backpropagation (bagian 1),Anak AI,5.4K views
Mar 1,THE HISTORICAL DUEL OF MESSI VS CR7 THAT SILENCED EVERYONE AT THE SANTIAGO BERNABÉU!,SIAN SPORTS,14M views
Mar 1,"LAST EL CLASICO OF MESSI, SUÁREZ AND NEYMAR TOGETHER AGAINST RONALDO WITH EMOTION FROM START TO END!",SIAN SPORTS,10M views
Mar 1,Memahami Danantara dengan Mudah,MALAKA,1.9M views
Feb 21,Apakah Kreativitas Tidak Bisa Diasah? (Cara Meningkatkan Kreativitas),Satu Persen - Indonesian Life School,87K views
Feb 21,Cara Berpikir Kreatif Jauh Lebih Baik Dengan Metode SCAMPER - Dibikin Simple,Dedy Dahlan,8.2K views
"Dec 19, 2024",Cara Membuat Authentication Service menggunakan JWT - Fast API,Programmer Tangguh,1.5K views
"Dec 17, 2024",5 KESALAHAN KENAPA BADANMU TIDAK JADI,2Nine Fit Indonesia,198K views
"Dec 17, 2024",BARU MULAI NGE-GYM? INI CARA LATIHAN UNTUK PEMULA,2Nine Fit Indonesia,512K views
"Dec 10, 2024",How to record a video meeting in Google Meet,Google Workspace Help,752K views
"Dec 8, 2024",Can You Do a Gradient in Figma?,Andrei B.,8.6K views
"Dec 7, 2024",Cara Mudah Buat Marketing Plan - ANALISIS #44,Marketeers TV,76K views
"Dec 7, 2024",How to record a video meeting in Google Meet,Google Workspace,379K views
"Nov 27, 2024",Membuat Prototyping & Interactions di Figma - Belajar Figma Bareng (3/3),ariedezign,349K views
"Nov 27, 2024",Manchester City 3-3 Feyenoord | Champions League 24/25 Match Highlights,beIN SPORTS Indonesia,1.3M views
"Nov 23, 2024",Mendesain Mockup Design High Fidelity (Eps 9),Mas KukuhAldy,10K views
"Nov 22, 2024",FULL HIGHLIGHT! JEPANG (1) VS (1) AUSTRALIA | AFC ASIAN QUALIFIER,RCTI Mega Entertainment,871K views
"Nov 22, 2024",Lagi On Fire! Semua Mata Tertuju Pada Marselino | AFC ASIAN QUALIFIERS,RCTI Mega Entertainment,735K views
"Nov 21, 2024",Tutorial Business Model Canvas (BMC) Menggunakan ArchiMate oleh Kelompok 4,Egan Rinday,624 views
"Nov 9, 2024",Tutorial Upgrade Penyimpanan Google Drive 100GB,Long Life Education,17K views
"Nov 9, 2024",Cara mudah upgrade kapasitas Google Drive ke 100 GB/200 GB,MathEdu SWCU,3.5K views
"Nov 9, 2024",Full tutorial of Plotting in C++ with MATPLOTLIB in Linux (g++ and cmake),MrAi,9.4K views
"Nov 9, 2024","𝗙𝘂𝗹𝗹 𝘁𝘂𝘁𝗼𝗿𝗶𝗮𝗹 𝗼𝗳 𝗜𝗡𝗦𝗧𝗔𝗟𝗟𝗔𝗧𝗜𝗢𝗡,𝗖𝗢𝗠𝗣𝗜𝗟𝗔𝗧𝗜𝗢𝗡(𝗴++ & 𝗰𝗺𝗮𝗸𝗲),𝗣𝗟𝗢𝗧𝗧𝗜𝗡𝗚 𝘂𝘀𝗶𝗻𝗴 𝗠𝗔𝗧𝗣𝗟𝗢𝗧𝗟𝗜𝗕 𝗶𝗻 𝗖++ 𝗳𝗼𝗿 𝗪𝗶𝗻𝗱𝗼𝘄𝘀",MrAi,16K views
"Nov 3, 2024",Membuat Algoritma / Flowchart dengan Flowgorithm,Dr. Achmad Solichin,4.2K views
"Oct 30, 2024",Seandainya,Vierra - Topic,17M views
"Oct 30, 2024",Kesepian,Vierra - Topic,4.3M views
